content,appName
Trimakasih indrver semoga tambah sukses,inDrive
"Tolong fitur ganti profil wajah jangan di persulit,kan ada verifikasi harusnya udah bisa,kenapa ga diganti²",inDrive
"Bagus,terimakasih,jarang dapat orderan",inDrive
Bagus,inDrive
Kenapa saya ga bisa download apk indriver mohon bantuanny,inDrive
Setelah pembaharuan malah banyak ngebug onbid Notif nya permintaan kadaluarsa tau nyaa permintaan sudah di terima,inDrive
Enak kawas dulu tujuh lelangan...sekarang dua lelangan seperti sepi jadi gk semngat keluar,inDrive
akun diblokir tapi dana ngk dikembalikan,inDrive
"Tidak tegas. Parah Driver yang menggunakan aplikasi tambahan / aplikasi ""mood"" tidak ditindas tegas.",inDrive
sangat membantu,inDrive
"tolong untuk para penguna apk mod driver untuk di band permanen, karena sangat merugikan kami para penguna apk driver ori 🙏🙏🙏",inDrive
"Selalu mendapatkan penawaran orderan yg jauh dan bahkan sampai diatas 3km, padahal ada sekolah yg dekat dengan rumah dan hanya berjarak 800 meter tapi saya tidak pernah mendapatkan tawaran orderan sama sekali, apakah orderan dengan titik jemput terdekat hanya untuk akun prioritas?",inDrive
"apk gajelas nyiksa driver, masa iya penumpang yg tidak kunjung datang kita harus menunggu smpe ga kunjung datang? lalu kita batalkan dan memberi umpan balik terhadap customer tersebut. yg ada saldo kita terpotong tidak jelas dan uang pun hangus. marketing aneh merugikan driver. tolong ni apk jadi lebih baik lagii kedepannya banyak driver yg dirugikan oleh kelakuan customer",inDrive
mantap,inDrive
"Miris , smkin lama smkin hancur , ga bsa d harapkan dr indriver",inDrive
tolong dong untuk pengurangan ongkos nya bisa di kurangin lagi,inDrive
sangat2 membantu.,inDrive
Udah sebulan susah dapat ordern hadeuh,inDrive
"Bagus, tapi sayang para MOD masih merajalela orderan gede 80k ke atas dibabat habis ga ada tindakan dari aplikator. Kasian para driver",inDrive
bagus,inDrive
nice try diddy,inDrive
👌🏻,inDrive
bagus,inDrive
Nice,inDrive
Jangan mau beli jaket nya terus di ngajuin prioritas akun saya udah sebulan gak pernah di proses,inDrive
"murah buat pelajar cuma setiap pake apk ini ada kendala 1. logo indrive nya ilang dan gbisa masuk akhirnya aku download ulang 2. selalu ke logout lnjut masalah driver 1. drivernya bnyk yang ga nge cek kalau ada orderan alhasil aku nunggu bermenit-menit (ada yg 5 mnit lebih diem aja, akhirnya aku pesen ulang)2. aku pas nunggu driver dan liat lokasinya ko driver nya malah ngelewatin lokasi dan malah jalan lebih jauh, kl mau muter masa sejauh itu dari titik lokasi aku?",inDrive
Sistem tolong diperbaiki karena lebih bagus yang dulu,inDrive
"Ini habis update tadi malam kok lemoott banget gini yaa aplikasinya 😩😩😩😩😩😩😩😩😩😩😩, gak bisa ambil order cepat",inDrive
selalu ok bgt. dan harga lebih murah dari sebelah,inDrive
"sistem lelanganyaaa kenapaa jadi cuma 2 driver, makin susah kita dpt orderan biarin ky dlu lahh, benerin ajaaa estimasi waktu penjemputan sm harganya jangan diusik2 lagi yang laen",inDrive
saya percaya indive bisa di andalkan,inDrive
Smangat mas bro,inDrive
lebih bagus lagi,inDrive
good,inDrive
mantap,inDrive
